TIME ms, IN2,no_offset
2.5,0.422361,0.453913108
2.495,-0.155278,-0.123725892
2.49,0.293997,0.325549108
2.485,0.550725,0.582277108
2.48,0.229815,0.261367108
2.476,0.165632,0.197184108
2.471,0.550725,0.582277108
2.466,-0.283642,-0.252089892
2.461,0.165632,0.197184108
2.456,-0.21946,-0.187907892
2.451,0.422361,0.453913108
2.446,0.10145,0.133002108
2.441,-0.026914,0.004638108
2.437,-0.21946,-0.187907892
2.432,0.871636,0.903188108
2.427,0.550725,0.582277108
2.422,0.743272,0.774824108
2.417,0.679089,0.710641108
2.412,0.743272,0.774824108
2.407,0.165632,0.197184108
2.402,-0.091096,-0.059543892
2.397,-0.091096,-0.059543892
2.393,-0.026914,0.004638108
2.388,-0.989646,-0.958093892
2.383,-0.283642,-0.252089892
2.378,-0.540371,-0.508818892
2.373,0.165632,0.197184108
2.368,0.550725,0.582277108
2.363,0.422361,0.453913108
2.358,0.229815,0.261367108
2.354,0.165632,0.197184108
2.349,0.422361,0.453913108
2.344,0.293997,0.325549108
2.339,1,1.031552108
2.334,-0.155278,-0.123725892
2.329,0.422361,0.453913108
2.324,0.037268,0.068820108
2.319,-0.155278,-0.123725892
2.314,0.358179,0.389731108
2.31,0.229815,0.261367108
2.305,-0.283642,-0.252089892
2.3,-0.026914,0.004638108
2.295,-0.21946,-0.187907892
2.29,0.165632,0.197184108
2.285,0.614907,0.646459108
2.28,0.10145,0.133002108
2.275,0.358179,0.389731108
2.271,-0.155278,-0.123725892
2.266,0.229815,0.261367108
2.261,0.550725,0.582277108
2.256,-0.026914,0.004638108
2.251,-0.091096,-0.059543892
2.246,-0.283642,-0.252089892
2.241,-0.412007,-0.380454892
2.236,0.358179,0.389731108
2.231,-0.026914,0.004638108
2.227,-0.155278,-0.123725892
2.222,-0.476189,-0.444636892
2.217,-0.604553,-0.573000892
2.212,-0.476189,-0.444636892
2.207,0.10145,0.133002108
2.202,-0.604553,-0.573000892
2.197,-0.283642,-0.252089892
2.192,-1.11801,-1.086457892
2.188,-0.861282,-0.829729892
2.183,-0.476189,-0.444636892
2.178,-0.861282,-0.829729892
2.173,-0.412007,-0.380454892
2.168,-0.604553,-0.573000892
2.163,0.037268,0.068820108
2.158,-0.091096,-0.059543892
2.153,-0.026914,0.004638108
2.148,0.358179,0.389731108
2.144,-0.155278,-0.123725892
2.139,-0.861282,-0.829729892
